model,accuracy,train_time_sec,inference_time_sec,inference_ms_per_image
microsoft/swin-base-patch4-window7-224,0.9762,803.5134095270187,53.175143983215094,5.317514398321509
google/vit-base-patch16-224,0.9676,639.3089979323559,42.6896285279654,4.268962852796539
facebook/convnextv2-base-22k-224,0.9782,841.8267759331502,57.43525205831975,5.743525205831975
microsoft/cvt-21,0.7711,426.9653493738733,28.95207237266004,2.8952072372660043
facebook/dinov2-base,0.9836,877.0437379432842,58.43733208766207,5.843733208766207
maxvit_base_tf_224.in1k,0.8909,1388.607379168272,90.5710856220685,9.05710856220685
microsoft/cvt-w24-384-22k,0.9772,8364.822789805941,552.0785547560081,55.20785547560081
microsoft/swin-large-patch4-window7-224,0.9822,1564.9635837967508,103.45427692122757,10.345427692122758
google/vit-large-patch16-224,0.98,2256.621013004333,150.4376129801385,15.043761298013852
facebook/convnextv2-large-22k-224,0.983,1636.8429659828544,109.33388893678784,10.933388893678785
facebook/dinov2-large,0.9906,2971.4021424208768,198.01619104808196,19.801619104808196
maxvit_large_tf_224.in1k,0.9058,2028.722138592042,132.44629691308364,13.244629691308365
